station,satellite,coroutine,ecs1_avg_time(s),kube_avg_time(s),improvement_percent(%)
500,5000,1,4.713907,5.018859,6.08%
500,5000,2,2.725322,3.142079,13.26%
500,5000,4,1.481665,1.755361,15.59%
500,5000,8,0.782100,1.086615,28.02%
500,5000,16,0.456607,0.716565,36.28%
500,10000,1,9.055250,9.557382,5.25%
500,10000,2,4.975274,5.602504,11.20%
500,10000,4,2.773489,3.305055,16.08%
500,10000,8,1.603863,2.117167,24.24%
500,10000,16,0.907676,1.340687,32.30%
500,15000,1,13.542206,14.333681,5.52%
500,15000,2,7.296512,7.995779,8.75%
500,15000,4,3.980855,5.068883,21.46%
500,15000,8,2.329967,3.307537,29.56%
500,15000,16,1.339246,1.975104,32.19%
500,20000,1,18.177834,18.609184,2.32%
500,20000,2,9.476145,10.389210,8.79%
500,20000,4,5.293232,6.209661,14.76%
500,20000,8,3.017422,4.156475,27.40%
500,20000,16,1.700826,2.495552,31.85%
600,5000,1,5.588478,5.956302,6.18%
600,5000,2,3.132212,3.639340,13.93%
600,5000,4,1.752509,2.175004,19.43%
600,5000,8,0.956797,1.408489,32.07%
600,5000,16,0.530341,0.867024,38.83%
600,10000,1,11.035946,11.627225,5.09%
600,10000,2,5.981892,6.449697,7.25%
600,10000,4,3.238607,4.162155,22.19%
600,10000,8,1.876943,2.422003,22.50%
600,10000,16,1.071372,1.551844,30.96%
600,15000,1,16.125950,17.004983,5.17%
600,15000,2,8.611491,9.449534,8.87%
600,15000,4,4.684815,5.643797,16.99%
600,15000,8,2.697021,3.796151,28.95%
600,15000,16,1.493030,2.257769,33.87%
600,20000,1,21.334521,22.418963,4.84%
600,20000,2,11.081830,12.410285,10.70%
600,20000,4,6.009026,7.372429,18.49%
600,20000,8,3.514815,5.008694,29.83%
600,20000,16,1.925386,3.094035,37.77%
700,5000,1,6.542838,6.878847,4.88%
700,5000,2,3.612348,4.081271,11.49%
700,5000,4,2.019929,2.411275,16.23%
700,5000,8,1.059163,1.548667,31.61%
700,5000,16,0.631352,0.956684,34.01%
700,10000,1,12.549311,13.384926,6.24%
700,10000,2,6.624820,7.601859,12.85%
700,10000,4,3.738568,4.621458,19.10%
700,10000,8,2.130777,2.958883,27.99%
700,10000,16,1.204138,1.911973,37.02%
700,15000,1,18.960093,19.610803,3.32%
700,15000,2,9.881565,10.721642,7.84%
700,15000,4,5.331240,6.572310,18.88%
700,15000,8,3.082657,4.375594,29.55%
700,15000,16,1.765228,2.954997,40.26%
700,20000,1,24.429559,26.232617,6.87%
700,20000,2,13.233870,14.665857,9.76%
700,20000,4,6.989189,8.841103,20.95%
700,20000,8,3.957551,5.243799,24.53%
700,20000,16,2.275552,3.643118,37.54%
800,5000,1,7.264308,7.870255,7.70%
800,5000,2,4.169929,4.431350,5.90%
800,5000,4,2.300737,2.797611,17.76%
800,5000,8,1.288293,1.658714,22.33%
800,5000,16,0.675788,1.022530,33.91%
800,10000,1,14.306999,15.115958,5.35%
800,10000,2,7.742411,8.512263,9.04%
800,10000,4,4.260330,4.983429,14.51%
800,10000,8,2.326583,3.225541,27.87%
800,10000,16,1.328469,2.033458,34.67%
800,15000,1,21.270598,22.350045,4.83%
800,15000,2,11.166818,12.467253,10.43%
800,15000,4,6.192394,7.275175,14.88%
800,15000,8,3.508019,4.700328,25.37%
800,15000,16,1.900044,3.009287,36.86%
800,20000,1,28.093734,29.938191,6.16%
800,20000,2,14.573975,16.270983,10.43%
800,20000,4,7.867989,10.023555,21.51%
800,20000,8,4.416011,6.398798,30.99%
800,20000,16,2.439994,4.234398,42.38%
900,5000,1,8.201376,8.770842,6.49%
900,5000,2,4.484788,5.109745,12.23%
900,5000,4,2.578638,3.143610,17.97%
900,5000,8,1.421342,1.920899,26.01%
900,5000,16,0.791776,1.256292,36.98%
900,10000,1,15.919601,17.073014,6.76%
900,10000,2,8.403047,9.518253,11.72%
900,10000,4,4.737110,5.705176,16.97%
900,10000,8,2.538657,3.841704,33.92%
900,10000,16,1.493673,2.298773,35.02%
900,15000,1,23.560341,25.079722,6.06%
900,15000,2,12.407978,13.788216,10.01%
900,15000,4,6.705928,8.308219,19.29%
900,15000,8,3.924987,5.279351,25.65%
900,15000,16,2.285596,3.676490,37.83%
900,20000,1,31.646598,33.435310,5.35%
900,20000,2,16.497305,18.862949,12.54%
900,20000,4,8.899767,11.289644,21.17%
900,20000,8,5.274107,6.917201,23.75%
900,20000,16,2.837350,4.381985,35.25%
1000,5000,1,9.291091,9.659575,3.81%
1000,5000,2,4.796715,5.332868,10.05%
1000,5000,4,2.746894,3.352951,18.08%
1000,5000,8,1.543181,2.046069,24.58%
1000,5000,16,0.857931,1.303917,34.20%
1000,10000,1,17.764317,18.613863,4.56%
1000,10000,2,9.438263,10.552128,10.56%
1000,10000,4,5.066916,6.240674,18.81%
1000,10000,8,2.934764,3.878241,24.33%
1000,10000,16,1.613922,2.641818,38.91%
1000,15000,1,26.670691,27.693225,3.69%
1000,15000,2,14.029020,15.055992,6.82%
1000,15000,4,7.467053,8.948941,16.56%
1000,15000,8,4.198051,5.717930,26.58%
1000,15000,16,2.381906,3.666355,35.03%
1000,20000,1,35.014327,37.550050,6.75%
1000,20000,2,18.243847,20.504382,11.02%
1000,20000,4,9.833507,11.922830,17.52%
1000,20000,8,5.595125,7.815846,28.41%
1000,20000,16,3.139548,5.319071,40.98%
